부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.5,0.1,0.15,0.05,0.15,0.05,-0.17663812871142362,0.0002321665090468089
0.25,0.1,0.25,0.05,0.25,0.1,-0.176584873943344,0.00023319555955903664
0.4,0.05,0.05,0.05,0.35,0.1,-0.17654425011384736,0.00023398340644849514
0.5,0.15,0.05,0.05,0.2,0.05,-0.17649696943834076,0.0002349034882656484
0.25,0.05,0.4,0.05,0.15,0.1,-0.17633822926425727,0.0002380173775195454
0.25,0.1,0.2,0.05,0.3,0.1,-0.17612401537342412,0.00024228066281206962
0.55,0.1,0.15,0.05,0.1,0.05,-0.1760330384779548,0.00024411279372170676
0.2,0.05,0.1,0.1,0.45,0.1,-0.17591577557516408,0.0002464933904228262
0.35,0.05,0.35,0.1,0.1,0.05,-0.1757956109702664,0.00024895539497035246
0.4,0.15,0.2,0.05,0.15,0.05,-0.17567152053310653,0.00025152194299893376
0.65,0.05,0.1,0.05,0.1,0.05,-0.17561553475127922,0.0002526879668153683
0.25,0.1,0.05,0.05,0.45,0.1,-0.1756112675422985,0.00025277704745561353
0.3,0.15,0.05,0.05,0.4,0.05,-0.17556705925725802,0.0002537016514485107
0.3,0.05,0.05,0.05,0.45,0.1,-0.175529849194946,0.00025448233819062925
0.2,0.1,0.15,0.05,0.35,0.15,-0.17536820731875558,0.00025789979934240283
0.25,0.2,0.25,0.05,0.2,0.05,-0.1752606736524409,0.00026019699667873485
0.2,0.1,0.2,0.05,0.3,0.15,-0.17516269853424313,0.0002623066295496127
0.25,0.2,0.2,0.05,0.25,0.05,-0.17508810772125982,0.0002639234462597204
0.35,0.1,0.05,0.1,0.35,0.05,-0.17482456489460937,0.00026971081418069996
0.2,0.15,0.05,0.05,0.5,0.05,-0.17482285801101707,0.00026974868054432255
0.4,0.05,0.05,0.1,0.35,0.05,-0.17477847903761737,0.00027073495068910926
0.3,0.05,0.4,0.1,0.1,0.05,-0.17472710184148926,0.0002718809544321724
0.35,0.1,0.2,0.1,0.2,0.05,-0.17462417676087383,0.00027419041190986744
0.3,0.15,0.1,0.05,0.35,0.05,-0.17461376477096083,0.0002744250562649758
0.2,0.15,0.2,0.1,0.3,0.05,-0.1745523169616382,0.00027581366620234483
0.3,0.05,0.3,0.1,0.2,0.05,-0.17451294119776115,0.0002767069343445288
0.3,0.15,0.1,0.1,0.3,0.05,-0.1743838475510786,0.00027965450275588684
