변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
산업대비_변화량(diff_industry),비유동자산회전율_diff_industry,16.629,0.0,***,0.0082,소
산업대비_변화량(diff_industry),유형자산회전율_diff_industry,8.2665,1.7e-05,***,0.0041,소
산업대비_변화량(diff_industry),재고자산회전율_diff_industry,2.4236,0.063853,n.s.,0.0012,소
산업대비_변화량(diff_industry),매출채권회전율_diff_industry,22.9484,0.0,***,0.0113,소
산업대비_변화량(diff_industry),매입채무회전율_diff_industry,11.6215,0.0,***,0.0058,소
산업대비_변화량(diff_industry),총자산증가율_diff_industry,109.9336,0.0,***,0.0519,소
산업대비_변화량(diff_industry),유형자산증가율_diff_industry,21.7446,0.0,***,0.0107,소
산업대비_변화량(diff_industry),자기자본증가율_diff_industry,16.4914,0.0,***,0.0081,소
산업대비_변화량(diff_industry),매출액증가율_diff_industry,30.7201,0.0,***,0.0151,소
산업대비_비율(ratio_industry),매출액영업이익률_ratio_industry,63.007,0.0,***,0.0304,소
산업대비_비율(ratio_industry),EBIT대매출액_ratio_industry,64.8193,0.0,***,0.0313,소
산업대비_비율(ratio_industry),EBITDA대매출액_ratio_industry,68.1594,0.0,***,0.0328,소
산업대비_비율(ratio_industry),매출원가대매출액_ratio_industry,7.4011,6e-05,***,0.0037,소
산업대비_비율(ratio_industry),매출액순이익률_ratio_industry,72.6472,0.0,***,0.0349,소
산업대비_비율(ratio_industry),사내유보율_ratio_industry,80.0255,0.0,***,0.0383,소
산업대비_비율(ratio_industry),금융비용대매출액_ratio_industry,103.3905,0.0,***,0.049,소
산업대비_비율(ratio_industry),자기자본비율_ratio_industry,155.2552,0.0,***,0.0718,중
산업대비_비율(ratio_industry),부채비율_ratio_industry,90.4322,0.0,***,0.0431,소
산업대비_비율(ratio_industry),유동비율_ratio_industry,82.1092,0.0,***,0.0393,소
산업대비_비율(ratio_industry),당좌비율_ratio_industry,83.0439,0.0,***,0.0397,소
산업대비_비율(ratio_industry),현금비율_ratio_industry,86.3185,0.0,***,0.0412,소
산업대비_비율(ratio_industry),순운전자본대총자본_ratio_industry,152.3557,0.0,***,0.0705,중
산업대비_비율(ratio_industry),비유동비율_ratio_industry,86.1787,0.0,***,0.0411,소
산업대비_비율(ratio_industry),비유동장기적합률_ratio_industry,37.0487,0.0,***,0.0181,소
