통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","매출액","백만원","원자료","6,979,280","7,737,354","7,596,437","7,961,644","8,324,867","8,808,047","9,151,272","9,487,032","9,382,471","10,225,508","10,805,932","10,821,477","11,027,936"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","매출원가","백만원","원자료","5,584,933","6,226,502","6,038,190","6,262,620","6,519,837","6,932,761","7,215,103","7,405,625","7,301,723","8,016,089","8,500,076","8,434,737","8,595,741"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","영업손익","백만원","원자료","306,487","346,360","330,520","365,418","439,635","427,924","393,103","460,425","423,754","420,223","402,044","391,697","407,647"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","매출액","백만원","원자료","161,738,304","151,807,823","149,397,988","97,075,569","86,136,211","110,277,537","135,753,071","126,692,967","83,217,183","130,831,042","218,036,174","175,559,927","181,077,043"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","매출원가","백만원","원자료","156,378,681","146,853,871","147,436,797","89,786,283","75,894,898","99,945,568","128,452,889","120,941,179","85,056,818","118,909,731","198,832,139","164,731,767","173,441,368"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","영업손익","백만원","원자료","2,096,579","1,790,324","-1,171,792","4,142,722","6,992,344","6,972,882","4,119,868","2,544,788","-4,900,311","7,704,898","14,077,942","6,396,881","2,872,715"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","매출액","백만원","원자료","192,044,432","180,531,560","172,248,556","170,766,877","172,600,084","190,783,114","214,798,321","198,890,414","178,912,518","229,814,102","272,201,510","253,022,114","257,388,018"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","매출원가","백만원","원자료","165,256,077","154,469,471","147,688,351","137,660,662","133,230,128","148,670,572","173,015,611","161,036,290","142,078,772","179,066,986","226,889,047","216,075,116","217,574,232"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","영업손익","백만원","원자료","8,863,030","8,505,530","7,229,501","12,859,525","17,363,670","19,434,854","17,524,304","12,198,573","11,291,168","20,765,233","14,756,184","8,161,970","8,270,991"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","매출액","백만원","원자료","84,618,501","77,538,847","66,800,812","63,866,282","62,804,750","72,735,563","79,999,526","72,421,309","61,512,796","86,213,652","115,624,843","104,068,557","111,391,348"
