사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018144673,주식회사잇츠,2022,조정기,0,88.19,34.7,94.01,26.59,35.8,70.55,45.3,중립,
1018145255,(주)일월세미컴,2015,조정기,0,100.0,32.8,0.0,54.88,0.06,49.93,16.8,매우 안정,
1018145255,(주)일월세미컴,2016,조정기,0,56.26,25.3,42.55,46.21,1.63,51.65,17.9,매우 안정,
1018145255,(주)일월세미컴,2017,성숙기,0,34.84,0.0,47.46,36.08,0.37,48.24,10.9,매우 안정,
1018145255,(주)일월세미컴,2018,성장기,0,25.54,4.0,70.94,47.08,0.06,48.77,14.0,매우 안정,
1018145255,(주)일월세미컴,2019,성숙기,0,56.69,0.0,63.92,48.1,0.16,47.48,14.1,매우 안정,
1018145255,(주)일월세미컴,2020,성숙기,0,0.0,0.0,67.03,58.62,0.02,50.43,12.2,매우 안정,
1018145255,(주)일월세미컴,2021,성숙기,0,77.37,2.6,70.41,58.92,0.05,49.44,16.9,매우 안정,
1018145255,(주)일월세미컴,2022,성숙기,0,88.19,0.0,94.01,29.83,0.02,51.29,17.9,매우 안정,
1018145255,(주)일월세미컴,2023,성숙기,0,62.46,0.0,94.68,45.16,0.01,47.77,17.2,매우 안정,
1018145255,(주)일월세미컴,2024,성숙기,0,77.47,0.0,100.0,51.89,6.8,52.43,22.8,매우 안정,
1018146818,(주)서울옥션,2015,성숙기,0,100.0,3.2,0.0,44.69,0.06,49.89,10.4,매우 안정,
1018146818,(주)서울옥션,2016,성장기,0,56.26,0.3,42.55,65.24,0.11,50.84,13.0,매우 안정,
1018146818,(주)서울옥션,2017,성장기,0,34.84,1.1,47.46,54.2,0.05,48.88,11.9,매우 안정,
1018146818,(주)서울옥션,2018,성장기,0,25.54,4.0,70.94,62.07,0.19,49.01,14.8,매우 안정,
1018146818,(주)서울옥션,2019,도입기,0,56.69,89.9,63.92,57.17,53.89,76.72,63.5,매우 위험,
1018146818,(주)서울옥션,2020,도입기,0,0.0,100.0,67.03,66.87,87.14,68.37,81.4,매우 위험,
1018146818,(주)서울옥션,2021,성숙기,0,77.37,2.6,70.41,72.39,0.57,5.05,15.6,매우 안정,
1018146818,(주)서울옥션,2022,도입기,0,88.19,76.6,94.01,49.32,0.11,51.06,34.2,안정,
1018146818,(주)서울옥션,2023,성장기,0,62.46,11.1,94.68,63.43,60.64,81.27,55.4,위험,
1018146818,(주)서울옥션,2024,성장기,0,77.47,22.2,100.0,62.69,67.02,51.98,60.9,매우 위험,
1018147059,우형전자(주),2021,성숙기,0,77.37,2.6,70.41,59.96,0.03,49.42,16.9,매우 안정,
1018147059,우형전자(주),2022,성장기,0,88.19,1.7,94.01,28.58,0.02,51.3,18.2,매우 안정,
1018147059,우형전자(주),2023,성숙기,0,62.46,0.0,94.68,43.91,0.04,47.79,17.2,매우 안정,
1018147059,우형전자(주),2024,성숙기,0,77.47,0.0,100.0,50.85,0.05,48.81,18.9,매우 안정,
