부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.3,0.15,0.35,0.05,0.1,0.05,0.2468135532376247,6.11139229273423e-64
0.2,0.1,0.35,0.1,0.05,0.2,0.24679270280900625,6.265692269468201e-64
0.2,0.1,0.35,0.1,0.1,0.15,0.24676660904750733,6.464273101472848e-64
0.25,0.1,0.35,0.05,0.15,0.1,0.24673276907774902,6.731170391685205e-64
0.3,0.05,0.4,0.05,0.15,0.05,0.24672665853786532,6.780521551287896e-64
0.3,0.1,0.3,0.1,0.05,0.15,0.2466692431946854,7.262198664535549e-64
0.2,0.05,0.5,0.05,0.15,0.05,0.24663659640251187,7.551131131399763e-64
0.25,0.1,0.3,0.05,0.15,0.15,0.2463364456765572,1.0806228661286934e-63
0.3,0.1,0.3,0.05,0.2,0.05,0.24629971960871572,1.1290317962576238e-63
0.3,0.05,0.35,0.05,0.15,0.1,0.2462943059678208,1.1363479598513011e-63
0.35,0.05,0.25,0.1,0.05,0.2,0.2462707751116283,1.1687010069058452e-63
0.35,0.05,0.35,0.1,0.1,0.05,0.2462466634297026,1.2028046220122484e-63
0.2,0.1,0.3,0.05,0.1,0.25,0.24623976376134923,1.2127446975554446e-63
0.25,0.1,0.35,0.1,0.05,0.15,0.2461895246154435,1.287632190449376e-63
0.2,0.05,0.5,0.15,0.05,0.05,0.24617463089779584,1.3107057373371198e-63
0.2,0.1,0.35,0.1,0.15,0.1,0.24617206211366424,1.314726772539105e-63
0.25,0.05,0.3,0.1,0.05,0.25,0.246145290788102,1.3573715792361176e-63
0.25,0.05,0.4,0.05,0.15,0.1,0.24609653301859138,1.4386100705969284e-63
0.2,0.05,0.4,0.05,0.2,0.1,0.24609003984986247,1.4497880381895839e-63
0.2,0.1,0.35,0.05,0.15,0.15,0.24605800932804509,1.5062074000320803e-63
0.2,0.05,0.4,0.15,0.1,0.1,0.24603702291458224,1.5443540160266084e-63
0.4,0.15,0.25,0.05,0.05,0.1,0.2459784393268969,1.656009712569244e-63
0.5,0.05,0.2,0.05,0.15,0.05,0.24595228630179722,1.7084175113692356e-63
0.2,0.1,0.4,0.2,0.05,0.05,0.2459344135304205,1.7451797176049363e-63
0.3,0.15,0.35,0.1,0.05,0.05,0.24589010198229558,1.8397578049907407e-63
0.25,0.1,0.35,0.1,0.1,0.1,0.24578934007491043,2.0742605238832244e-63
0.25,0.05,0.25,0.05,0.15,0.25,0.2457778765868138,2.1027585271670246e-63
0.2,0.05,0.45,0.15,0.1,0.05,0.24577091387280445,2.1202577394586308e-63
0.3,0.05,0.25,0.05,0.15,0.2,0.24563535513990747,2.491383663395326e-63
0.25,0.05,0.35,0.05,0.15,0.15,0.24562897698649708,2.5103573558042897e-63
0.25,0.1,0.25,0.05,0.1,0.25,0.24562831529816317,2.5123339646879856e-63
0.4,0.1,0.25,0.05,0.1,0.1,0.24554677264232533,2.7681747381530836e-63
0.2,0.15,0.3,0.05,0.05,0.25,0.24544205063344296,3.1351519037314074e-63
0.25,0.05,0.3,0.1,0.1,0.2,0.24542826718810418,3.186931109078e-63
0.2,0.15,0.4,0.15,0.05,0.05,0.24531305166544054,3.6544469564445616e-63
0.35,0.1,0.3,0.1,0.1,0.05,0.24528439374433908,3.7809744080323034e-63
0.3,0.05,0.3,0.1,0.15,0.1,0.24521824345638374,4.089944393621161e-63
0.25,0.1,0.3,0.1,0.05,0.2,0.24494703444380386,5.642504817367469e-63
0.35,0.15,0.3,0.1,0.05,0.05,0.24494500884128306,5.656074008973106e-63
0.35,0.05,0.3,0.15,0.05,0.1,0.24487740287421408,6.128091855398779e-63
0.2,0.05,0.4,0.05,0.25,0.05,0.24487345934260452,6.156805740912407e-63
0.3,0.1,0.25,0.05,0.1,0.2,0.24469692021556874,7.589317339377875e-63
0.25,0.05,0.3,0.05,0.15,0.2,0.24462928292793412,8.222227749638428e-63
0.5,0.05,0.15,0.05,0.05,0.2,0.24457975389893735,8.71878830370303e-63
0.2,0.05,0.4,0.1,0.2,0.05,0.24457504177520983,8.767558902835592e-63
0.25,0.05,0.4,0.05,0.2,0.05,0.2445534805397817,8.994207761335715e-63
0.25,0.1,0.35,0.2,0.05,0.05,0.24455096913783647,9.020983913190407e-63
