변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,투하자본회전율,성장기 vs 쇠퇴기,2.163,1.9148,0.2482,0.6346,0.8885,n.s.
기본 재무비율,투하자본회전율,성숙기 vs 쇠퇴기,2.8687,1.9148,0.9539,13.0392,0.0046,**
기본 재무비율,매출채권회전율,도입기 vs 성장기,48.2286,31.2443,16.9843,8.8088,0.0322,*
기본 재무비율,매출채권회전율,도입기 vs 성숙기,48.2286,25.279,22.9496,23.0644,0.0,***
기본 재무비율,매출채권회전율,도입기 vs 쇠퇴기,48.2286,47.6078,0.6207,0.0119,0.9997,n.s.
기본 재무비율,매출채권회전율,성장기 vs 성숙기,31.2443,25.279,5.9653,1.3834,0.7095,n.s.
기본 재무비율,매출채권회전율,성장기 vs 쇠퇴기,31.2443,47.6078,-16.3636,7.5887,0.0556,n.s.
기본 재무비율,매출채권회전율,성숙기 vs 쇠퇴기,25.279,47.6078,-22.3289,19.6502,0.0002,***
기본 재무비율,매출채권회수기간,도입기 vs 성장기,132.3366,76.1968,56.1398,34.1954,0.0,***
기본 재무비율,매출채권회수기간,도입기 vs 성숙기,132.3366,77.741,54.5956,46.3778,0.0,***
기본 재무비율,매출채권회수기간,도입기 vs 쇠퇴기,132.3366,142.6523,-10.3158,1.1671,0.7609,n.s.
기본 재무비율,매출채권회수기간,성장기 vs 성숙기,76.1968,77.741,-1.5442,0.0329,0.9984,n.s.
기본 재무비율,매출채권회수기간,성장기 vs 쇠퇴기,76.1968,142.6523,-66.4555,44.4712,0.0,***
기본 재무비율,매출채권회수기간,성숙기 vs 쇠퇴기,77.741,142.6523,-64.9114,59.0036,0.0,***
기본 재무비율,재고자산회전율,도입기 vs 성장기,2554.2372,4653.0222,-2098.785,29.6128,0.0,***
기본 재무비율,재고자산회전율,도입기 vs 성숙기,2554.2372,5937.0505,-3382.8133,110.3236,0.0,***
기본 재무비율,재고자산회전율,도입기 vs 쇠퇴기,2554.2372,3835.0495,-1280.8123,11.148,0.0111,*
기본 재무비율,재고자산회전율,성장기 vs 성숙기,4653.0222,5937.0505,-1284.0283,14.1103,0.0028,**
기본 재무비율,재고자산회전율,성장기 vs 쇠퇴기,4653.0222,3835.0495,817.9727,4.1746,0.2435,n.s.
기본 재무비율,재고자산회전율,성숙기 vs 쇠퇴기,5937.0505,3835.0495,2102.001,38.3372,0.0,***
기본 재무비율,재고자산보유기간,도입기 vs 성장기,685.6727,444.7091,240.9636,53.4578,0.0,***
기본 재무비율,재고자산보유기간,도입기 vs 성숙기,685.6727,408.9489,276.7238,101.1045,0.0,***
